Complexity,Loss,Equation
1,0.2152083,"x_1"
2,0.21206176,"sin(x_1)"
3,0.09567916,"x_1 - -0.3457334"
4,0.09178834,"sin(x_1) + 0.34678388"
5,0.0040175887,"(x_0 * x_0) + x_1"
6,6.125215e-6,"(x_0 * x_0) + sin(x_1)"
8,2.2626114e-6,"(sin(x_1) * 0.99627376) + (x_0 * x_0)"
12,2.0268249e-6,"(x_1 * 0.9962739) + ((x_0 * x_0) + (sin(x_1) - x_1))"
